,0,1,2,3
0,울산더테라스가든점,남구,"울산 남구 삼산로 231 (달동, 울산 센트럴 자이) 1층 탐앤탐스",T.052-266-0188
1,울산달동점,남구,울산광역시 남구 왕생로62번길 21,T.052-267-5561
2,울산남외점,중구,울산광역시 중구 남외2길 46,T.052-296-1883
3,울산호계점,북구,울산광역시 북구 호계로 258,T.052-282-7823
4,언양 휴게소(상),울주군,울산광역시 울주군 언양읍 경부고속도로 44,T.052-263-6153
5,울산일산해수욕장점,동구,울산 동구 해수욕장10길 22 (일산동) 탐앤탐스 2층,T.052-235-0900
